t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
5.100000,-0.416600,1.000000,0.455943,0.000000,0.000005,0.347178,0.751522,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.200000,-0.516486,1.000000,0.455943,0.000000,0.000005,0.355545,0.755224,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.300000,-0.616355,1.000000,0.455943,0.000000,0.000005,0.363884,0.758896,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.400000,-0.715988,1.000000,0.455943,0.000000,0.000005,0.372188,0.762534,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.500000,-0.815163,1.000000,0.455943,0.000000,0.000005,0.380452,0.766139,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.600000,-0.913657,1.000000,0.455943,0.000000,0.000005,0.388671,0.769706,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.700000,-1.011244,1.000000,0.455943,0.000000,0.000005,0.396839,0.773235,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.800000,-1.107698,1.000000,0.455943,0.000000,0.000005,0.404951,0.776724,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.900000,-1.202789,1.000000,0.455943,0.000000,0.000005,0.413001,0.780172,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.000000,-1.296292,1.000000,0.455943,0.000000,0.000005,0.420986,0.783575,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.100000,-1.387978,1.000000,0.455943,0.000000,0.000005,0.428899,0.786934,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.200000,-1.477623,1.000000,0.455943,0.000000,0.000005,0.436736,0.790247,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.300000,-1.565004,1.000000,0.455943,0.000000,0.000005,0.444493,0.793512,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
