t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
6.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,382.631223,0.500000,stable,0.158080,0,0,0,1.618034
6.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,376.243552,0.500000,stable,0.000005,0,0,0,1.618034
6.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,373.715940,0.500000,stable,0.158071,0,0,0,1.618034
6.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,379.095173,0.500000,stable,0.255770,0,0,0,1.618034
7,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,385.730197,0.500000,stable,0.255773,0,0,0,1.618034
7.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.349189,0.500000,stable,0.158080,0,0,0,1.618034
7.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,379.138658,0.500000,stable,0.000005,0,0,0,1.618034
7.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,375.776864,0.500000,stable,0.158071,0,0,0,1.618034
7.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,379.479619,0.500000,stable,0.255770,0,0,0,1.618034
7.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,384.565004,0.500000,stable,0.255773,0,0,0,1.618034
7.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.688005,0.500000,stable,0.158080,0,0,0,1.618034
7.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,378.085254,0.500000,stable,0.000005,0,0,0,1.618034
7.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,375.754987,0.500000,stable,0.158071,0,0,0,1.618034
7.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,380.333217,0.500000,stable,0.255770,0,0,0,1.618034
8,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.082958,0.500000,stable,0.255773,0,0,0,1.618034
8.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.739461,0.500000,stable,0.158080,0,0,0,1.618034
8.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.281976,0.500000,stable,0.000005,0,0,0,1.618034
8.300000,0.767335,0.268941,1,0,0.000009,1,0.268941,0,377.325706,0.500000,stable,0.158071,0,0,0,1.618034
8.400000,0.474239,0.268941,1,0,0.000009,1,0.268941,0,380.622014,0.500000,stable,0.255770,0,0,0,1.618034
8.500000,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,385.174001,0.500000,stable,0.255773,0,0,0,1.618034
8.600000,-0.474239,0.268941,1,0,0.000009,1,0.268941,0,384.440819,0.500000,stable,0.158080,0,0,0,1.618034
8.700000,-0.767335,0.268941,1,0,0.000009,1,0.268941,0,379.452995,0.500000,stable,0.000005,0,0,0,1.618034
8.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,377.301944,0.500000,stable,0.158071,0,0,0,1.618034
8.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,381.283826,0.500000,stable,0.255770,0,0,0,1.618034
9,-0.000000,0.268941,1,0,0.000009,1,0.268941,0,386.356294,0.500000,stable,0.255773,0,0,0,1.618034
9.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.043960,0.500000,stable,0.158080,0,0,0,1.618034
9.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,381.176666,0.500000,stable,0.000005,0,0,0,1.618034
9.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,378.538645,0.500000,stable,0.158071,0,0,0,1.618034
9.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,381.508549,0.500000,stable,0.255770,0,0,0,1.618034
9.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,385.627506,0.500000,stable,0.255773,0,0,0,1.618034
9.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.000951,0.500000,stable,0.158080,0,0,0,1.618034
9.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.507392,0.500000,stable,0.000005,0,0,0,1.618034
9.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,378.515333,0.500000,stable,0.158071,0,0,0,1.618034
9.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,382.036612,0.500000,stable,0.255770,0,0,0,1.618034
10,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.574310,0.500000,stable,0.255773,0,0,0,1.618034
10.100000,0.474239,0.268941,1,0,0.000012,1,0.268941,0,386.288162,0.500000,stable,0.158080,0,0,0,1.618034
10.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,381.895873,0.500000,stable,0.000005,0,0,0,1.618034
10.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,379.514260,0.500000,stable,0.158071,0,0,0,1.618034
10.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,382.216368,0.500000,stable,0.255770,0,0,0,1.618034
